player_id;player;nationality;birth_data
1;Danny Boffin;BEL;1965
2;John Bosman;NED;1965
3;Bertrand Crasson;BEL;1971
4;Jean-Francois De Sart;BEL;1961
5;Filip De Wilde;BEL;1964
6;Michel De Wolf;BEL;1958
7;Marc Degryse;BEL;1965
8;Jean-Marie Houben;BEL;1966
9;Wim Kooiman;NED;1960
10;Nii Lamptey;GHA;1974
11;Peter Maes;BEL;1964
12;Charly Musonda;ZAM;1969
13;Luc Nilis;BEL;1967
14;Luis Oliveira;BEL;1969
15;Graeme Rutjes;NED;1960
16;Alain Van Baekel;BEL;1961
17;Gert Verheyen;BEL;1970
18;Bruno Versavel;BEL;1967
19;Johan Walem;BEL;1972
20;Guillermo Amor;ESP;1967
21;Ion Andoni Goikoetxea;ESP;1965
22;Miguel Angel Nadal;ESP;1966
23;Txiki Begiristain;ESP;1964
24;Juan Carlos;ESP;1965
25;Albert Ferrer;ESP;1970
26;Pep Guardiola;ESP;1971
27;Ronald Koeman;NED;1963
28;Michael Laudrup;DEN;1964
29;Jose Mari Bakero;ESP;1963
30;Nando;ESP;1967
31;Cristobal Parralo;ESP;1967
32;Jose Ramon Alexanko;ESP;1956
33;Eusebio Sacristan;ESP;1964
34;Julio Salinas;ESP;1962
35;Ricardo Serna;ESP;1966
36;Hristo Stoichkov;BUL;1966
37;Richard Witschge;NED;1969
38;Andoni Zubizarreta;ESP;1961
39;Rui Aguas;POR;1960
40;William Amaral de Andrade;BRA;1967
41;Rui Bento;POR;1972
42;Cesar Brito;POR;1964
43;Rui Costa;POR;1972
44;Jose Carlos Martins Ferreira;POR;1966
45;Isaias;BRA;1963
46;Vasili Kulkov;CIS;1966
47;Silvino Louro;POR;1959
48;Paulo Madeira;POR;1970
49;Mats Magnusson;SWE;1963
50;Neno;POR;1962
51;Antonio Pacheco;POR;1966
52;Vitor Paneira;POR;1966
53;Joao Pires;POR;1970
54;Stefan Schwarz;SWE;1969
55;Paulo Sousa;POR;1970
56;Jonas Thern;SWE;1967
57;Pedro Valido;POR;1970
58;Antonio Veloso;POR;1957
59;Sergei Yuran;RUS;1969
60;Andrey Aleksanenkov;RUS;1969
61;Andriy Annenkov;UKR;1969
62;Stepan Betsa;UKR;1970
63;Anatoliy Bezsmertnyi;UKR;1969
64;Borys Derkach;UKR;1964
65;Yuriy Hrytsyna;UKR;1971
66;Serhiy Kovalets;UKR;1968
67;Ihor Kutyepov;UKR;1965
68;Gintaras Kvitkauskas;LTU;1967
69;Oleh Luzhny;UKR;1968
70;Valdemaras Martinkenas;LTU;1965
71;Oleh Matveyev;UKR;1970
72;Viktor Moroz;UKR;1968
73;Yuriy Moroz;UKR;1970
74;Oleg Salenko;RUS;1969
75;Volodymyr Sharan;UKR;1971
76;Serhiy Shmatovalenko;UKR;1967
77;Yervand Sukiasyan;ARM;1967
78;Vladislav Ternavsky;RUS;1969
79;Akhrik Tsveiba;CIS;1966
80;Oleh Volotyok;UKR;1967
81;Pavlo Yakovenko;UKR;1964
82;Serhiy Zayets;UKR;1969
83;Kostas Antoniou;GRE;1962
84;Stratos Apostolakis;GRE;1964
85;Giorgos Athanasiadis;GRE;1963
86;Leonidas Christodolou;AUS;1967
87;Giorgos Donis;GRE;1969
88;Kostas Frantzeskos;GRE;1969
89;Paris Georgakopoulos;GRE;1965
90;Lysandros Georgamlis;GRE;1962
91;Juan Jose Borrelli;ARG;1970
92;Chris Kalantzis;AUS;1967
93;Ioannis Kalitzakis;GRE;1966
94;Nikos Karageorgiou;GRE;1962
95;Nikos Kourbanas;GRE;1962
96;Spiros Marangos;GRE;1967
97;Kostas Mavridis;GRE;1962
98;Dimitris Saravakos;GRE;1961
99;Jozef Wandzik;POL;1963
100;Krzysztof Warzycha;POL;1964
101;Miodrag Belodedici;ROU;1964
102;Elvir Bolic;BIH;1971
103;Slavisa Cula;SRB;1968
104;Ilija Ivic;SRB;1971
105;Milic Jovanovic;SRB;1966
106;Predrag Jovanovic;SRB;1965
107;Vladimir Jugovic;SRB;1969
108;Dragoje Lekovic;YUG;1967
109;Vladan Lukic;YUG;1970
110;Sinisa Mihajlovic;SRB;1969
111;Zvonko Milojevic;SRB;1971
112;Ilija Najdoski;MKD;1964
113;Sasa Nedeljkovic;SRB;1967
114;Darko Pancev;MKD;1965
115;Dusko Radinovic;YUG;1963
116;Milorad Ratkovic;BIH;1964
117;Dusko Savic;SRB;1968
118;Dejan Savicevic;YUG;1966
119;Mitko Stojkovski;MKD;1972
120;Vlada Stosic;YUG;1965
121;Miroslav Tanjga;SRB;1964
122;Goran Vasilijevic;SRB;1965
123;Dario Bonetti;ITA;1961
124;Ivano Bonetti;ITA;1964
125;Renato Buso;ITA;1969
126;Toninho Cerezo;BRA;1955
127;Giuseppe Dossena;ITA;1958
