season_id;player_id;team_id;player;player_position;team_name;min_played
1;1;3;Danny Boffin;MF;RSC Anderlecht;844
1;2;3;John Bosman;FW;RSC Anderlecht;357
1;3;3;Bertrand Crasson;DF;RSC Anderlecht;457
1;4;3;Jean-Francois De Sart;DF;RSC Anderlecht;383
1;5;3;Filip De Wilde;GK;RSC Anderlecht;540
1;6;3;Michel De Wolf;DF;RSC Anderlecht;900
1;7;3;Marc Degryse;FW;RSC Anderlecht;810
1;8;3;Jean-Marie Houben;DF;RSC Anderlecht;450
1;9;3;Wim Kooiman;DF;RSC Anderlecht;546
1;10;3;Nii Lamptey;FW,MF;RSC Anderlecht;227
1;11;3;Peter Maes;GK;RSC Anderlecht;360
1;12;3;Charly Musonda;MF;RSC Anderlecht;90
1;13;3;Luc Nilis;FW;RSC Anderlecht;744
1;14;3;Luis Oliveira;FW;RSC Anderlecht;781
1;15;3;Graeme Rutjes;DF;RSC Anderlecht;900
1;16;3;Alain Van Baekel;MF;RSC Anderlecht;105
1;17;3;Gert Verheyen;FW,MF;RSC Anderlecht;329
1;18;3;Bruno Versavel;FW,MF;RSC Anderlecht;246
1;19;3;Johan Walem;MF;RSC Anderlecht;810
1;20;5;Guillermo Amor;MF;FC Barcelona;120
1;21;5;Ion Andoni Goikoetxea;DF,FW;FC Barcelona;414
1;22;5;Miguel Angel Nadal;DF,MF;FC Barcelona;425
1;23;5;Txiki Begiristain;FW,MF;FC Barcelona;506
1;24;5;Juan Carlos;DF;FC Barcelona;415
1;25;5;Albert Ferrer;DF;FC Barcelona;390
1;26;5;Pep Guardiola;MF;FC Barcelona;944
1;27;5;Ronald Koeman;DF,MF;FC Barcelona;1020
1;28;5;Michael Laudrup;MF;FC Barcelona;976
1;29;5;Jose Mari Bakero;MF;FC Barcelona;783
1;30;5;Nando;DF;FC Barcelona;750
1;31;5;Cristobal Parralo;DF;FC Barcelona;141
1;32;5;Jose Ramon Alexanko;DF;FC Barcelona;33
1;33;5;Eusebio Sacristan;MF;FC Barcelona;859
1;34;5;Julio Salinas;FW;FC Barcelona;299
1;35;5;Ricardo Serna;DF;FC Barcelona;474
1;36;5;Hristo Stoichkov;FW,MF;FC Barcelona;768
1;37;5;Richard Witschge;MF;FC Barcelona;810
1;38;5;Andoni Zubizarreta;GK;FC Barcelona;1020
1;39;7;Rui Aguas;FW;SL Benfica;229
1;40;7;William Amaral de Andrade;DF;SL Benfica;360
1;41;7;Rui Bento;DF,MF;SL Benfica;660
1;42;7;Cesar Brito;FW;SL Benfica;468
1;43;7;Rui Costa;MF;SL Benfica;389
